config_name,run,survived,survival_time,market_fit,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,organizational_alignment,organizational_conflict,cash_runway,revenue,funding_rounds,pivots_used,total_headcount,eng_ratio,sales_ratio,mkt_ratio
Marketing-Heavy,14,True,,100.0,9.119417615749299,120.15122837726696,20.331129722601226,0.0,63.674439510145895,99.99999999999999,100.0,0.0,13913.530086981296,154.6541204334911,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,15,True,,100.0,7.035109517501258,120.79457494530439,20.295981089600097,0.0,64.37723025817395,99.99999999999999,100.0,0.0,12116.022148330932,112.7077609065722,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,16,True,,100.0,8.233256451041678,108.06710915792547,23.001921117384708,0.0,50.56484719380886,99.99999999999999,100.0,0.0,10823.007841750277,125.34444002192788,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,17,True,,100.0,5.82068904186557,114.7242440458366,21.584925438071586,0.0,58.08518588587118,99.99999999999999,100.0,0.0,12175.215492173951,95.69443445774115,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,18,True,,100.0,8.399289344384517,120.31188933343891,20.318454714180728,0.0,63.86709591839847,99.99999999999999,100.0,0.0,10963.109752669892,143.66083682797137,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,19,True,,100.0,7.4734723830272936,119.84953519087766,20.373816455810545,0.0,63.46692824858943,99.99999999999999,100.0,0.0,13520.275981739465,119.96406385285286,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,20,True,,100.0,6.516568282447353,121.10432108844088,20.13095068494455,0.0,64.82987182695513,99.99999999999999,100.0,0.0,11996.800867807175,98.18183404318374,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Minimal,1,True,,100.0,4.989163713984101,104.34754451679258,22.735990789767943,0.0,51.21966155627715,99.99998572165984,100.0,0.0,3954.5026204925775,81.36428780503833,1,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,2,True,,100.0,4.305913178195775,103.39047080156244,22.963060140391914,0.0,49.803558496734404,99.9999938006002,100.0,0.0,4186.795956903107,73.24868626324574,1,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,3,False,17.0,55.901716084601595,0.0,17.435671977467564,27.354844944805798,11.748985095372362,69.41928608553542,67.96727474308891,99.65950000000002,0.0,-2.971211192044499,4.699518059369585,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,4,False,19.0,56.72549292262897,0.0,18.978877122451735,24.710792254644996,10.448672706538673,69.71319045150862,77.57038590355042,100.0,0.0,-1.549779270977801,5.34583948077949,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,5,False,17.0,57.022802943742114,0.0,17.7432216528901,29.231412530832134,12.994674771273242,69.6357871094829,62.645509264789325,100.0,0.0,-1.6813837206041544,4.635310050205096,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,6,False,25.0,58.09652572323879,0.0,22.342387301994197,23.33628971662538,9.911178438157037,69.56136165598932,70.57023557269962,100.0,0.0,-0.5785726441427697,4.192571005535845,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,7,True,,100.0,5.10254743538503,87.0881338384075,27.4580251359101,0.0,29.445019385906566,99.99999606579149,100.0,0.0,3395.6946300234467,74.54604023251187,1,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,8,False,18.0,56.98149717466402,0.0,17.89805727863582,27.359785710115254,11.761618333268471,69.32622153871417,60.890180487977965,91.97800000000007,0.0,-2.411841085932706,4.882224320557246,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,9,False,18.0,55.78997606427055,0.0,18.69826757044439,23.370746955033763,9.697349393695545,69.93691657283263,78.00974412854046,100.0,0.0,-1.9359691686978957,5.343103757850562,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,10,False,22.0,59.5339390443013,0.0,21.506638870335255,21.597006787006528,9.01701483467022,70.25865720288219,79.55668801472926,99.32600000000015,0.0,-2.086519154657493,4.320592641818295,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,11,True,,100.0,3.440251147269692,100.54501791263657,23.68488601526276,0.0,46.70330629865164,99.99999114584234,100.0,0.0,4106.844462660694,49.913163789532206,1,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,12,False,18.0,56.17034163904665,0.0,17.919446194091122,30.047607725977254,13.41750029346389,69.29998756811516,62.30598246138402,100.0,0.0,-1.6884145412353897,4.518922722663609,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,13,True,,100.0,5.215284525729807,110.15302631181548,21.41065145841652,0.0,57.56601856072898,99.99999808929589,100.0,0.0,4008.7875385270654,82.13347439620678,1,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,14,False,19.0,57.35645391786539,0.0,19.712279942745067,21.883822396239495,9.02029128333983,70.24252543287346,55.0066380930608,100.0,0.0,-3.062285616585192,5.855460481433855,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,15,False,19.0,57.71488331169711,0.0,19.004535493908513,24.264279909056313,10.172072902212967,69.73763372190596,78.35397899384769,100.0,0.0,-1.035626793685342,5.597884145833448,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,16,False,18.0,57.03492470750928,0.0,18.84208326029479,23.5673451828737,9.854518686582614,70.06204480602786,63.975895440627866,100.0,0.0,-2.014496229143064,5.4664946234517044,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,17,True,,100.0,4.603363854911176,104.92140880225342,22.525609692678234,0.0,51.91094866579815,99.99998085088183,100.0,0.0,3417.4577779114843,69.25012621335422,1,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,18,False,22.0,58.463898374879875,0.0,21.175746087075268,22.710073904720932,9.587989728080283,70.01258457489338,79.03663474971721,100.0,0.0,-0.2553465565917943,4.112520646826561,0,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,19,True,,100.0,4.9233597860275,107.90578014656091,21.86644204481194,0.0,55.16186446876175,99.99999901989213,100.0,0.0,4619.212432601553,86.97376497715418,1,0,12,0.4166666666666667,0.25,0.16666666666666666
Minimal,20,False,26.0,59.17074621853184,0.0,23.44795772426366,22.21963215279966,9.493906943258356,69.94014833250787,86.57133195994541,100.0,0.0,-0.4692695499064552,4.493397867446952,0,0,12,0.4166666666666667,0.25,0.16666666666666666
